Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,Base Score
1578943,Ramzi Market Llc  ,Convenience Store,1539,Crenshaw Blvd,,Los Angeles,CA,90019,4356,LOS ANGELES,34.0451,-118.3286,2024-02-26,2025-01-26,1
1357195,La Elegida Market 1,Convenience Store,5139,Avalon Blvd,,Los Angeles,CA,90011,4525,LOS ANGELES,33.99546,-118.2655,2024-02-26,,1
1567577,John's Meat Market  ,Meat/Poultry Specialty,11151,Avalon Blvd,Ste 107,Los Angeles,CA,90061,3077,LOS ANGELES,33.93372,-118.2654,2024-02-26,,2
1163818,Happy's Liquor  ,Convenience Store,405,S Indiana St, ,Los Angeles,CA,90063,3908,LOS ANGELES,34.03162,-118.1924,2024-02-26,,1
1574274,Nu Way Market  ,Convenience Store,6101,Holmes Ave,,Los Angeles,CA,90001,1819,LOS ANGELES,33.98454,-118.2415,2024-02-26,,1
282777,Las Palmas Market  ,Convenience Store,1259,N Las Palmas Ave,,Los Angeles,CA,90038,1241,LOS ANGELES,34.09427,-118.3365,2024-02-24,,1
1570889,La Conchita Bakery  ,Bakery Specialty,11124,Long Beach Blvd,,Lynwood,CA,90262,2530,LOS ANGELES,33.93117,-118.2117,2024-02-23,,1
1579727,Centro Latino Meat 2  ,Meat/Poultry Specialty,4512,S Hoover St,,Los Angeles,CA,90037,3047,LOS ANGELES,34.00219,-118.2868,2024-02-23,,2
1298969,Alvarado Mini Mart  ,Convenience Store,2026,W 3rd St,,Los Angeles,CA,90057,2318,LOS ANGELES,34.06262,-118.2725,2024-02-23,2025-04-02,1
1577255,Dafney Mini Marts  ,Convenience Store,9317,Avalon Blvd,,Los Angeles,CA,90003,3836,LOS ANGELES,33.95127,-118.2654,2024-02-23,,1
1576538,Gatewood Liquor  ,Convenience Store,3881,E Imperial Hwy,,Lynwood,CA,90262,2257,LOS ANGELES,33.93195,-118.1954,2024-02-22,,1
1575897,Choi's Market  ,Convenience Store,1828,N Broadway,,Los Angeles,CA,90031,2525,LOS ANGELES,34.07186,-118.2213,2024-02-21,,1
1582004,Unico Oil  ,Convenience Store,4072,Verdugo Rd,,Los Angeles,CA,90065,3727,LOS ANGELES,34.12481,-118.2314,2024-02-16,,1
1500707,Petra Market  ,Convenience Store,655,S Flower St,,Los Angeles,CA,90017,2805,LOS ANGELES,34.04903,-118.2588,2024-02-16,,1
1559340,Marukai West La  ,Super Store,12121,W Pico Blvd,,Los Angeles,CA,90064,1162,LOS ANGELES,34.02933,-118.4511,2024-02-15,,3
963468,Venice Beach Mart  ,Convenience Store,77,Windward Ave,,Venice,CA,90291,4102,LOS ANGELES,33.98759,-118.4726,2024-02-15,,1
1577817,K Discount 99 Cent Plus  ,Convenience Store,8029,Eastern Ave,,Bell Gardens,CA,90201,6106,LOS ANGELES,33.95901,-118.1654,2024-02-15,,1
402615,Laker's Liquor  ,Convenience Store,1040,W Imperial Hwy,,Los Angeles,CA,90044,1314,LOS ANGELES,33.93073,-118.2934,2024-02-15,,1
1586049,Marukai Little Tokyo  ,Super Store,123,Onizuka St,Ste 105,Los Angeles,CA,90012,3842,LOS ANGELES,34.05035,-118.242,2024-02-15,,3
1580726,El Torito Carneceria  ,Meat/Poultry Specialty,272,E Vernon Ave,,Los Angeles,CA,90011,3438,LOS ANGELES,34.00368,-118.2698,2024-02-13,,2
579980,Marthas Mini Market  ,Convenience Store,4122,S Hooper Ave,,Los Angeles,CA,90011,3222,LOS ANGELES,34.00852,-118.2519,2024-02-10,,1
1272205,Hot Box Smoke Shop  ,Convenience Store,9115,S Western Ave,,Los Angeles,CA,90047,3519,LOS ANGELES,33.95407,-118.3093,2024-02-09,,1
1575351,Afrikan General Store  ,Combination Grocery/Other,240,W Florence Ave,,Inglewood,CA,90301,1377,LOS ANGELES,33.96505,-118.3592,2024-02-08,,2
1580844,Virgil Farm Market  ,Medium Grocery Store,868,N Virgil Ave,,Los Angeles,CA,90029,2941,LOS ANGELES,34.08744,-118.2866,2024-02-08,,3
1578347,Cloud Market And Smoke Shop 17,Convenience Store,560,S Los Angeles St,Ste 17,Los Angeles,CA,90013,1589,LOS ANGELES,34.04455,-118.2481,2024-02-02,,1
1575547,Mid City  Arco 42665,Convenience Store,3401,Whittier Blvd,,Los Angeles,CA,90023,1707,LOS ANGELES,34.02781,-118.2006,2024-01-30,,1
1407798,Alvarado Shell  ,Convenience Store,400,N Alvarado St,,Los Angeles,CA,90026,4902,LOS ANGELES,34.07042,-118.2675,2024-01-30,,1
